0.012367,0.013745,0.55468,0.44532,0.067299,-0.10525
0.011265,0.021997,0.49652,0.50348,5.7574e-29,-0.58445
0.015205,0.019791,0.48627,0.51373,6.2893e-06,-0.25784
0.014131,0.017039,0.50112,0.49888,0.0013449,-0.18521
0.015168,0.020705,0.50552,0.49448,1.2839e-07,-0.30157
0.013866,0.027214,0.50934,0.49066,1.2934e-28,-0.5878
0.014371,0.027894,0.5069,0.4931,1.2986e-27,-0.58051
0.015249,0.023729,0.50437,0.49563,1.7101e-13,-0.41555
0.016135,0.022087,0.49457,0.50543,1.4785e-07,-0.30415
0.017481,0.025002,0.50165,0.49835,2.6457e-09,-0.34331
0.017681,0.025722,0.49632,0.50368,5.3931e-10,-0.35825
0.018381,0.020872,0.47127,0.52873,0.034119,-0.12644
0.018003,0.018811,0.43742,0.56258,0.4649,-0.043928
0.018602,0.022017,0.45584,0.54416,0.0053303,-0.16699
0.018573,0.025192,0.46597,0.53403,5.8995e-07,-0.29576
0.019717,0.023537,0.4595,0.5405,0.0036632,-0.17531
0.019602,0.022687,0.46105,0.53895,0.016737,-0.14523
0.020212,0.025318,0.48464,0.51536,0.0002493,-0.22159
0.019737,0.028819,0.49378,0.50622,1.1568e-09,-0.36149
0.020057,0.02903,0.49865,0.50135,3.1143e-09,-0.35383
0.019805,0.028428,0.50082,0.49918,7.6465e-09,-0.34671
0.02014,0.029282,0.48909,0.51091,2.6575e-09,-0.35783
0.019582,0.031384,0.48358,0.51642,1.1608e-13,-0.43957
0.019596,0.030947,0.48762,0.51238,7.4826e-13,-0.42768
0.019036,0.029645,0.49715,0.50285,3.9038e-12,-0.41675
0.018878,0.029992,0.48951,0.51049,5.1892e-13,-0.43345
0.018362,0.031594,0.4895,0.5105,5.6795e-17,-0.49572
0.01826,0.031861,0.49946,0.50054,1.3667e-17,-0.50596
0.018269,0.03152,0.51476,0.48524,6.9227e-17,-0.49801
0.018424,0.031775,0.5172,0.4828,9.2782e-17,-0.49799
0.018588,0.033588,0.51138,0.48862,3.7501e-19,-0.53193
0.018544,0.034345,0.51705,0.48295,2.2124e-20,-0.54911
0.018577,0.034166,0.52543,0.47457,7.6883e-20,-0.54438
0.017886,0.034378,0.53693,0.46307,3.0393e-22,-0.57484
0.018013,0.035339,0.53986,0.46014,3.1109e-23,-0.58785
0.017509,0.03543,0.54508,0.45492,6.8908e-25,-0.60743
0.017942,0.034694,0.53751,0.46249,5.4406e-22,-0.57802
0.017634,0.034585,0.54561,0.45439,1.1913e-22,-0.58757
0.018456,0.034471,0.53703,0.46297,1.038e-19,-0.55463
0.017674,0.034904,0.53508,0.46492,1.1621e-22,-0.5919
0.018716,0.033791,0.53245,0.46755,1.3696e-17,-0.53054
0.018004,0.033874,0.53785,0.46215,1.2643e-19,-0.55977
0.01929,0.033141,0.54534,0.45466,6.7043e-15,-0.49439
0.018361,0.034358,0.53991,0.46009,5.2486e-19,-0.55601
0.019457,0.032487,0.53846,0.46154,2.4835e-13,-0.47207
0.018277,0.032781,0.52973,0.47027,1.5184e-16,-0.52587
