phase,dayno,mood_relaxed,mood_down,mood_irritat,mood_satisfi,mood_lonely,mood_anxious,mood_enthus,mood_suspic,mood_cheerf,mood_guilty,mood_doubt,mood_strong,pat_restl,pat_agitate,pat_worry,pat_concent,se_selflike,se_ashamed,se_selfdoub
1,238,5,-1,1,6,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
1,238,4,1,2,3,0,0,4,1,3,0,1,4,2,2,1,4,5,1,2
1,239,4,1,2,3,0,0,3,1,4,0,2,4,1,1,2,4,4,1,2
1,239,4,1,1,4,0,0,3,1,3,0,3,3,1,1,2,3,4,1,3
1,239,5,0,2,5,0,0,4,1,4,0,2,4,2,2,1,4,5,1,2
1,239,5,0,2,3,0,0,3,1,4,0,2,5,1,1,1,5,5,1,1
1,239,4,1,2,3,0,0,3,1,3,0,3,3,1,2,1,4,4,1,2
1,239,4,1,1,3,1,0,3,1,3,0,3,3,2,2,1,4,4,1,2
1,239,5,0,2,3,0,0,4,1,4,0,3,3,2,2,1,4,4,2,2
1,240,5,1,1,5,0,0,4,1,3,0,3,4,1,2,1,4,4,1,3
1,240,4,1,2,3,0,0,3,1,3,0,2,3,2,2,1,3,4,1,3
1,240,3,1,1,3,0,0,3,1,3,0,3,3,2,1,1,3,4,1,3
1,240,5,0,1,5,0,0,4,1,4,0,2,4,1,1,1,4,4,1,2
1,240,4,0,2,3,0,0,3,1,4,0,2,3,2,2,1,4,4,1,2
1,240,4,0,1,5,0,0,4,1,4,0,1,4,1,1,1,4,4,1,2
1,240,4,0,2,5,0,0,4,1,5,0,2,4,1,2,1,4,5,1,2
1,241,3,1,2,3,0,0,3,1,3,0,2,3,1,3,2,3,4,1,3
1,241,5,0,2,5,0,0,4,1,5,0,2,5,1,1,1,5,5,1,2
1,241,4,0,3,4,0,0,4,1,3,0,3,4,3,3,1,4,4,1,2
1,241,4,0,2,5,0,0,4,1,4,0,2,4,2,1,1,5,5,1,2
1,241,5,-1,1,5,-1,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,241,4,0,3,5,0,0,4,1,4,0,3,4,1,1,1,5,5,1,2
1,241,5,1,2,3,0,0,3,1,3,1,3,3,3,2,1,4,4,2,2
1,242,4,1,2,3,0,0,3,1,3,0,2,3,2,2,1,4,4,1,3
1,242,5,0,1,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,242,5,0,2,4,0,0,3,1,3,0,2,3,2,2,1,4,4,1,2
1,242,5,0,1,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,242,4,0,3,3,0,0,3,1,4,0,2,4,3,2,1,3,4,1,2
1,242,4,0,2,4,0,0,3,1,4,0,3,3,2,2,1,3,4,1,3
1,242,4,0,3,4,0,0,3,1,4,0,1,3,2,3,1,4,4,1,3
1,242,3,0,4,2,0,0,3,1,3,0,2,3,3,3,1,4,4,1,3
1,243,5,1,2,4,0,0,3,1,4,0,2,3,1,2,2,4,4,1,3
1,243,3,0,3,3,0,0,3,1,4,0,2,4,2,3,1,4,4,1,2
1,243,5,0,2,5,0,0,4,1,4,0,2,5,1,2,1,5,5,1,2
1,243,5,0,2,5,0,0,4,1,4,0,2,5,2,2,1,5,5,1,1
1,243,5,0,1,5,0,0,4,1,4,0,2,5,1,1,1,5,5,1,1
1,243,4,0,2,5,0,0,4,1,4,0,2,3,2,1,1,4,5,1,2
1,243,5,-1,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,243,5,-1,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,244,4,0,3,3,0,0,3,1,3,0,2,3,1,3,1,3,4,1,3
1,244,4,0,2,4,0,0,4,1,4,0,1,4,1,2,1,4,5,1,2
1,244,4,0,2,4,0,0,3,1,4,0,2,3,2,2,1,4,4,1,2
1,244,4,-1,3,3,0,0,4,1,4,0,1,4,1,2,1,4,5,1,2
1,244,4,0,3,3,0,0,3,1,3,0,1,3,2,4,1,3,4,1,2
1,245,5,0,1,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,245,5,-1,1,5,0,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
1,245,4,0,2,4,0,0,4,1,4,0,1,3,2,2,1,4,4,1,2
1,245,5,-1,1,5,-1,-1,4,1,5,0,1,5,1,1,1,5,5,1,1
1,245,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,245,5,-1,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,246,4,1,2,4,0,0,3,1,3,0,1,3,1,1,2,3,4,2,3
1,246,3,0,3,4,0,0,4,1,5,0,1,4,1,2,1,5,5,1,1
1,246,5,0,1,6,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,247,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,247,6,-1,1,5,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
1,247,4,0,2,4,0,0,4,1,4,0,2,5,1,2,1,5,5,1,1
1,247,4,0,2,3,0,0,3,1,3,0,2,3,1,3,1,3,4,1,3
1,247,4,0,2,3,0,0,3,1,4,0,2,3,2,2,1,4,4,1,2
1,247,4,0,1,5,0,0,4,1,4,0,1,1,1,1,1,4,5,1,1
1,247,3,0,4,4,0,0,3,1,4,0,1,4,1,3,1,5,5,1,2
1,247,5,0,2,4,0,0,4,1,5,0,1,5,2,2,1,5,5,1,1
1,248,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,248,5,0,1,4,0,0,4,1,4,0,3,4,1,1,1,3,5,1,2
1,248,5,0,2,5,0,0,4,1,5,0,2,5,1,2,1,5,5,1,1
1,248,5,0,2,4,0,0,4,1,4,0,2,4,1,2,1,4,4,1,3
1,248,4,0,3,3,0,0,3,1,3,0,3,3,3,3,1,3,4,1,3
1,248,5,0,2,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,248,5,0,2,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,248,5,0,1,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,248,4,0,3,3,0,0,3,1,4,0,2,3,2,3,1,4,5,1,2
1,248,4,0,1,5,0,0,4,1,4,0,1,3,1,1,1,4,4,1,1
1,249,5,-1,1,5,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
1,249,5,-1,2,6,-1,-1,6,1,5,-1,1,5,1,1,1,5,5,1,1
1,249,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,249,5,0,1,5,0,0,4,1,5,0,1,4,1,1,1,5,5,1,1
1,249,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,250,5,-1,1,5,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
1,250,5,0,2,3,0,0,4,1,4,0,3,4,1,1,1,3,4,1,2
1,250,3,0,3,3,0,0,3,1,4,0,2,3,1,3,1,4,4,1,2
1,250,5,0,2,5,0,0,4,1,4,0,2,4,1,2,1,4,5,1,2
1,250,4,1,3,3,0,0,3,1,3,0,3,3,1,3,1,3,4,1,3
1,250,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,250,5,0,2,5,0,0,4,1,5,0,1,5,1,1,1,5,5,1,1
1,250,5,0,2,4,0,0,5,1,5,0,1,5,1,2,1,5,5,1,1
1,250,4,0,3,4,0,0,3,1,4,0,3,4,1,3,1,4,5,1,3
1,251,5,0,1,4,0,0,4,1,3,0,2,4,1,1,1,3,5,1,2
1,251,4,0,2,4,0,0,4,1,4,0,3,3,2,2,1,4,4,1,2
1,251,5,-1,1,5,-1,-1,5,1,5,-1,2,5,1,1,1,5,5,1,1
1,251,5,0,1,5,0,0,4,1,4,0,1,4,1,2,1,3,4,1,2
1,251,4,0,2,4,0,0,4,1,4,0,2,3,2,2,1,4,5,1,2
1,251,4,0,3,4,0,0,3,1,4,0,1,4,2,3,1,5,5,1,2
1,251,4,0,2,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
1,252,5,0,1,5,0,0,3,1,4,0,2,4,1,1,1,3,5,1,2
1,252,5,-1,1,5,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
1,252,4,0,3,4,0,0,3,1,4,0,1,3,1,2,1,4,5,1,2
1,252,4,0,3,3,0,0,3,1,4,0,2,4,2,2,1,4,4,1,2
1,252,4,0,2,4,0,0,3,1,4,0,2,3,2,2,1,4,4,1,2
1,252,4,0,4,4,0,0,3,1,3,0,1,4,2,4,1,5,5,1,2
1,252,5,1,2,5,1,0,3,1,5,0,1,4,2,2,2,4,4,1,2
1,252,5,1,1,4,1,0,3,1,3,0,2,3,2,2,2,4,4,1,2
1,253,4,1,1,4,1,0,2,1,3,0,1,3,1,1,1,2,4,1,3
