       2.012,       0.926
       3.044,       0.926
       3.970,       0.926
       4.902,       0.932
       6.040,       1.138
       7.389,       1.350
       8.810,       1.420
      10.097,       1.287
      11.277,       1.180
      12.251,       0.974
      13.140,       0.889
      14.113,       0.973
      15.354,       1.241
      16.702,       1.348
      18.136,       1.434
      19.420,       1.284
      20.506,       1.085
      21.458,       0.952
      22.411,       0.953
      23.594,       1.183
      24.802,       1.208
      25.994,       1.191
      27.161,       1.167
      28.201,       1.040
      29.104,       0.904
      29.962,       0.857
      30.838,       0.876
      31.986,       1.148
      33.238,       1.251
      34.578,       1.340
      35.837,       1.259
      36.975,       1.138
      37.939,       0.964
      38.841,       0.902
      39.771,       0.930
      40.927,       1.156
      42.079,       1.151
      43.232,       1.153
      44.346,       1.114
      45.282,       0.936
      46.145,       0.863
      46.972,       0.828
      47.795,       0.823
      48.729,       0.934
      49.905,       1.176
      51.137,       1.232
      52.333,       1.196
      53.370,       1.037
      54.276,       0.906
      55.122,       0.845
      55.951,       0.830
      56.815,       0.864
      57.907,       1.092
      59.114,       1.207
      60.271,       1.157
      61.351,       1.080
      62.316,       0.965
      63.212,       0.896
      64.066,       0.854
      64.912,       0.845
      65.869,       0.957
      67.039,       1.170
      68.175,       1.136
      69.301,       1.126
      70.297,       0.996
      71.176,       0.879
      72.006,       0.831
      72.822,       0.815
      73.694,       0.872
      74.834,       1.140
      76.063,       1.229
      77.298,       1.235
      78.477,       1.179
      79.528,       1.052
      80.435,       0.906
      81.279,       0.845
      82.149,       0.870
      83.291,       1.142
      84.463,       1.172
      85.646,       1.183
      86.806,       1.159
      87.852,       1.046
      88.767,       0.915
      89.628,       0.861
      90.515,       0.887
      91.658,       1.144
      92.816,       1.158
      93.999,       1.183
      95.152,       1.154
      96.210,       1.058
      97.114,       0.904
      97.962,       0.849
      98.806,       0.843
      99.780,       0.975
     100.979,       1.199
     102.187,       1.208
     103.368,       1.181
     104.509,       1.142
     105.480,       0.971
     106.370,       0.890
     107.241,       0.871
     108.165,       0.924
     109.329,       1.164
     110.476,       1.147
     111.604,       1.128
     112.592,       0.988
     113.509,       0.917
     114.390,       0.881
     115.239,       0.850
     116.095,       0.856
     117.099,       1.004
     118.267,       1.167
     119.417,       1.150
     120.562,       1.146
     121.582,       1.020
     122.500,       0.918
     123.372,       0.872
     124.226,       0.854
     125.105,       0.879
     126.210,       1.105
     127.391,       1.181
     128.539,       1.147
     129.678,       1.139
     130.660,       0.982
     131.553,       0.893
     132.415,       0.862
     133.293,       0.879
     134.380,       1.087
     135.570,       1.189
     136.779,       1.209
     137.945,       1.167
     139.045,       1.100
     139.991,       0.946
     140.869,       0.878
     141.733,       0.864
     142.643,       0.909
     143.790,       1.147
     144.948,       1.158
     146.111,       1.163
     147.280,       1.169
     148.264,       0.983
     149.148,       0.884
     150.019,       0.871
     150.943,       0.924
     152.100,       1.157
     153.269,       1.169
     154.450,       1.182
     155.608,       1.158
     156.599,       0.991
     157.460,       0.861
     158.303,       0.843
     159.200,       0.897
     160.349,       1.149
     161.499,       1.149
     162.657,       1.159
     163.808,       1.150
     164.768,       0.960
     165.649,       0.881
     166.508,       0.859
     167.396,       0.888
     168.475,       1.079
     169.643,       1.168
     170.760,       1.117
     171.817,       1.057
     172.710,       0.893
     173.544,       0.834
     174.346,       0.802
     175.139,       0.793
     175.978,       0.839
     177.047,       1.069
     178.188,       1.142
     179.278,       1.090
     180.289,       1.011
